Feature Key,Success Count,Fail Count,Success Rate (%),Safe Pool Status
"[Advanced Effect] speedup","37","0","100.0%","Safe"
"[Advanced Effect] zoomsoft","51","0","100.0%","Safe"
"[Advanced Effect] shake","52","0","100.0%","Safe"
"[Advanced Effect] zoomin","35","0","100.0%","Safe"
"[Advanced Effect] overshootzoom","18","0","100.0%","Safe"
"[Advanced Effect] flash","29","0","100.0%","Safe"
"[Advanced Effect] speedrampfast","6","0","100.0%","Safe"
"[Advanced Effect] driftcam","1","0","100.0%","Restricted"
"[Advanced Effect] speedramp","5","0","100.0%","Safe"
"[Advanced Effect] zoom","1","0","100.0%","Restricted"
"[Advanced Effect] rgbshift","6","0","100.0%","Safe"
"[Advanced Effect] zoomsoft","69","0","100.0%","Safe"
"[Subtitle Style] hookbold","67","4","94.4%","Safe"
"[Transition Out] wipeleft","60","4","93.8%","Safe"
"[Advanced Effect] shake","20","0","100.0%","Safe"
"[Subtitle Style] framedcard","53","0","100.0%","Safe"
"[Transition Out] fade","60","0","100.0%","Safe"
"[Advanced Effect] zoomin","19","0","100.0%","Safe"
"[Subtitle Style] neonglow","52","0","100.0%","Safe"
"[Transition Out] slideup","62","0","100.0%","Safe"
"[Transition Out] wiperight","15","0","100.0%","Safe"
"[Subtitle Style] ctared","32","0","100.0%","Safe"
"[Subtitle Style] goldcaption","46","0","100.0%","Safe"
"[Advanced Effect] speedup","36","0","100.0%","Safe"
"[Advanced Effect] rgbshift","12","2","85.7%","Restricted"
"[Advanced Effect] overshootzoom","20","0","100.0%","Safe"
"[Transition Out] pixelize","5","0","100.0%","Safe"
"[Advanced Effect] flash","4","0","100.0%","Restricted"
"[Transition Out] circleopen","46","0","100.0%","Safe"
"[Advanced Effect] cinematiczoom","29","0","100.0%","Safe"
"[Advanced Effect] speedpulse","4","0","100.0%","Restricted"
"[Subtitle Style] vibrantstickerlabel","2","0","100.0%","Restricted"
"[Subtitle Style] minimalglasscard","2","0","100.0%","Restricted"
"[Subtitle Style] warningredbadge","2","0","100.0%","Restricted"
"[Advanced Effect] speedrampfast","25","2","92.6%","Safe"
"[Advanced Effect] snapzoom","2","0","100.0%","Restricted"
